answer	path	n
proxy	[('soare', '01010', 59), ('cutin', '00000', 12), ('gloop', '00201', 1), ('proxy', '22222', 1)]	4
point	[('soare', '02000', 87), ('culty', '00010', 5), ('compt', '02012', 1), ('point', '22222', 1)]	4
robot	[('soare', '02010', 26), ('cyton', '00120', 1), ('robot', '22222', 1)]	3
prick	[('soare', '00010', 57), ('glint', '00200', 5), ('bacca', '00020', 1), ('prick', '22222', 1)]	4
wince	[('soare', '00002', 79), ('guilt', '00100', 6), ('enmew', '11001', 1), ('wince', '22222', 1)]	4
crimp	[('soare', '00010', 57), ('glint', '00200', 5), ('bacca', '00100', 1), ('crimp', '22222', 1)]	4
knoll	[('soare', '01000', 56), ('clint', '01010', 2), ('aalii', '00100', 1), ('knoll', '22222', 1)]	4
sugar	[('soare', '20110', 8), ('cuppy', '02000', 1), ('sugar', '22222', 1)]	3
whack	[('soare', '00200', 40), ('clink', '10002', 3), ('aahed', '10100', 1), ('whack', '22222', 1)]	4
mount	[('soare', '02000', 87), ('culty', '01010', 4), ('aband', '00020', 1), ('mount', '22222', 1)]	4
perky	[('soare', '00011', 117), ('direr', '00210', 5), ('becap', '02001', 1), ('perky', '22222', 1)]	4
could	[('soare', '02000', 87), ('culty', '21100', 1), ('could', '22222', 1)]	3
wrung	[('soare', '00010', 57), ('glint', '10020', 1), ('wrung', '22222', 1)]	3
light	[('soare', '00000', 183), ('clint', '01102', 2), ('aahed', '00100', 1), ('light', '22222', 1)]	4
those	[('soare', '11002', 5), ('aitch', '00101', 1), ('those', '22222', 1)]	3
moist	[('soare', '12000', 15), ('fubsy', '00020', 3), ('abmho', '00101', 1), ('moist', '22222', 1)]	4
shard	[('soare', '20220', 11), ('kempt', '00000', 4), ('acidy', '10010', 1), ('shard', '22222', 1)]	4
pleat	[('soare', '00101', 68), ('canal', '00021', 6), ('bated', '01110', 1), ('pleat', '22222', 1)]	4
aloft	[('soare', '01100', 44), ('cloot', '02202', 4), ('abaft', '20022', 1), ('aloft', '22222', 1)]	4
skill	[('soare', '20000', 63), ('thilk', '00221', 1), ('skill', '22222', 1)]	3
